rind_Mix,rindMixoos,midMix,midMixoos,bayesPmix,bayesPmixoos,meanBeta1,Mix_beta1_c1,mixEq,zeroInDPM,commonInDPM,rind_DPM,rind_DPMoos,midDPM,midDPMoos,bayesPDPM,bayesPDPMoos,dpm_beta1_c1,dpmEq,rind_K,rind_Koos,kmean_MSE,kmean_MSEoos,meanBetakclust1,kclustIn0,kclustInCommon,ncMix,ncDPM,ncK,N,fractions,variance,interEffect,common,prec,alph,bet
0.24089635854341737,0.3570028011204482,12.557333269782761,12.683683716389778,0.52023988005997,0.5169915042478761,3.919275073356064,3.2272507160465156,1,true,true,0.3277310924369748,0.2886554621848739,5.363601844184249,5.560267563249667,0.9180409795102449,0.8935532233883059,60.959608224806516,1,0.7850140056022409,0.7787114845938375,2.6827601405328996,2.2319213472932926,3.375868495367507,false,true,6,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.26708683473389355,0.37100840336134455,9.833659715023353,10.880028264596964,0.5284857571214393,0.6181909045477261,3.1665042439184363,2.849303569365782,1,true,true,0.22563025210084034,0.22591036414565827,4.12136894261284,4.725976031330134,0.8628185907046477,0.8703148425787106,-16.080462222003998,1,0.7766106442577031,0.7865546218487395,2.3388197242528186,2.7152122000190593,3.805324841205643,false,true,6,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.19215686274509805,0.20378151260504201,6.7344552260202395,7.571766122190721,0.5099950024987506,0.6224387806096952,3.066126676100349,2.8319196677771448,1,true,true,0.14285714285714285,0.1429971988795518,4.472385833784278,5.099081797850957,0.9055472263868066,0.9140429785107447,-8.716495075746083,1,0.7743697478991597,0.7988795518207283,2.404921887107617,2.5453803396514103,3.7033604260316504,false,true,4,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.24943977591036415,0.26288515406162466,9.781626535969988,10.305846934346404,0.4867566216891554,0.5182408795602199,3.2216730663897395,2.977899249960246,1,true,true,0.17969187675070028,0.17857142857142858,5.617082181121487,5.834886604122954,0.882808595702149,0.8793103448275862,-2.1326334825253777,1,0.7820728291316527,0.7907563025210084,2.3864971302818234,2.167516941467138,2.0557547941957983,false,true,7,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.1931372549019608,0.2603641456582633,9.505934267006957,9.479166211423271,0.49075462268865566,0.5424787606196901,2.399812393977441,2.712845149677528,1,true,true,0.16736694677871147,0.15532212885154062,5.054136388256017,5.165590385500131,0.9165417291354323,0.8975512243878061,-33.624312811537834,1,0.7897759103641456,0.7701680672268908,2.432397716843714,2.2608797643512335,2.9279052121535454,false,true,6,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.22913165266106442,0.4070028011204482,13.141030211411346,15.449144788915843,0.537231384307846,0.5302348825587206,2.916168847581968,2.714433974371408,1,true,true,0.18025210084033613,0.16694677871148458,4.789300327733587,4.961274565743792,0.9172913543228386,0.9217891054472763,-18.184569536428306,1,0.7924369747899159,0.7805322128851541,2.3072263398275097,2.332565249467406,3.284862920701788,false,true,5,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.20504201680672268,0.3047619047619048,10.160773436636914,11.035371792075985,0.5027486256871564,0.6246876561719141,2.7975127160571476,3.191578649672299,1,true,true,0.16750700280112044,0.16862745098039217,4.613421009010464,5.433952849283845,0.8950524737631185,0.9297851074462768,57.56036899872324,1,0.7802521008403361,0.7966386554621848,2.29857866141341,2.588598481775184,3.074270626037416,false,true,4,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.20448179271708683,0.3330532212885154,10.679180332511296,11.62255838189232,0.5129935032483759,0.5599700149925038,2.5685303799288546,2.381957810661972,1,true,true,0.1303921568627451,0.1303921568627451,4.293924001615155,4.693457148032425,0.8733133433283358,0.8948025987006497,-9.647570321275367,1,0.7941176470588235,0.7876750700280112,2.3482084010865716,2.4828493577190964,2.562095590954226,false,true,4,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.34971988795518205,0.4092436974789916,12.287319191830791,12.318717594866033,0.4775112443778111,0.5579710144927537,1.8411685918062637,2.6972627608906987,1,true,true,0.34509803921568627,0.3142857142857143,5.594756588391343,5.81525832584464,0.9005497251374313,0.9090454772613693,71.40377348450706,1,0.7829131652661064,0.7743697478991597,2.6865687787800345,2.676981635135057,2.766489375858132,false,true,10,2,9,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.21708683473389356,0.26064425770308125,8.171514604292998,8.1848423788623,0.5497251374312844,0.4830084957521239,4.36792132791844,2.994907790815003,1,true,true,0.16694677871148458,0.1550420168067227,4.161161321427392,4.470577699339169,0.8940529735132434,0.8988005997001499,0.9212595746270733,1,0.7764705882352941,0.7719887955182073,2.243736939225845,2.1548110465909835,3.4088451681782295,false,true,5,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.24145658263305322,0.3511204481792717,12.976197996018364,13.727469384632306,0.500999500249875,0.41329335332333833,2.1888428937919993,2.9960270510801457,1,true,true,0.18081232492997198,0.16694677871148458,5.580935969563639,5.711621831187298,0.9407796101949025,0.9110444777611194,25.43984072576829,1,0.7774509803921569,0.7810924369747899,2.677167923436357,2.462313138943946,3.583820512184274,false,true,9,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.19299719887955183,0.28249299719887955,9.998790134279208,10.729013127089802,0.52023988005997,0.5352323838080959,1.5038782658835497,2.5967318352411057,1,true,true,0.16862745098039217,0.16694677871148458,4.418081158663122,4.831587800373422,0.933783108445777,0.9522738630684657,-2.9967482208631058,1,0.7939775910364145,0.7879551820728291,2.011316208838702,2.3169518040510457,3.617686231699049,false,true,4,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
0.20490196078431372,0.32563025210084034,10.687946744398852,11.195796801831476,0.49150424787606195,0.5329835082458771,2.319732746057441,2.7742089628211453,1,true,true,0.14285714285714285,0.14285714285714285,4.509598409530278,4.97790496320935,0.893303348325837,0.881559220389805,2.1737295521604088,1,0.7941176470588235,0.7746498599439776,2.3819791643856134,2.433111406145933,2.980306069518139,false,true,4,2,10,120,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]",1.0,2.0,3.0,0.1,0.1,0.1
