rind_Mix,rindMixoos,midMix,midMixoos,bayesPmix,bayesPmixoos,meanBeta1,Mix_beta1_c1,Mix_beta1_c2,mixEq,rind_DPM,rind_DPMoos,midDPM,midDPMoos,bayesPDPM,bayesPDPMoos,dpm_beta1_c1,dpm_beta1_c2,dpmEq,rind_K,rind_Koos,kmean_MSE,kmean_MSEoos,meanBetakclust1,ncMix,ncDPM,ncK,n,fractions,variance,interEffect,common
0.541105527638191,0.4612562814070352,17.423523541333378,19.818683840813435,0.5269730269730271,0.6008991008991009,1.46493657277912,3.5056384972430865,-0.796791458268676,1,0.49964824120603013,0.48115577889447236,10.936158426641212,12.00174560859304,0.8171828171828172,0.8161838161838162,14.681838606468252,12.13463386340487,1,0.6799497487437186,0.693819095477387,7.337347247221675,7.807837745411173,3.10914932774171,11,11,11,200,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,4.0,3.0
0.4192964824120603,0.46507537688442213,26.209565131707055,26.685514627692804,0.5049950049950049,0.5969030969030968,2.481859409408841,2.766330122439934,2.171535996887941,1,0.45190954773869346,0.4326130653266332,12.263818299405807,12.882834382635721,0.8416583416583416,0.8601398601398601,-0.48332681616687834,-0.15281642501534248,1,0.697889447236181,0.6962311557788945,7.578749247771131,7.326459751965511,3.5337883445018825,24,24,24,200,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,4.0,3.0
0.41130653266331657,0.408643216080402,20.85517935157036,26.340154219623212,0.5054945054945055,0.5824175824175823,2.329846538963553,2.4402013806097997,3.4761245723505905,1,0.22663316582914572,0.225678391959799,12.0529996027521,12.073792538726009,0.8096903096903096,0.8006993006993006,2.2430207226968095,4.911453412542178,1,0.6863819095477387,0.6827638190954773,6.784689419759757,7.375240718992373,11.115880039244246,12,12,12,200,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,4.0,3.0
0.5319095477386935,0.45110552763819095,15.298191850164214,16.080794944202577,0.49000999000999,0.5974025974025974,4.559137917494985,2.0159131431706077,7.2260394108518975,1,0.20206030150753768,0.20804020100502513,10.48386599151174,10.731181473381774,0.8191808191808192,0.8171828171828172,-6.177912174533165,-3.892817470827707,1,0.690502512562814,0.6910552763819096,6.873621098962502,6.76655981172977,1.2014633954654457,4,4,4,200,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,4.0,3.0
0.3851256281407035,0.45979899497487436,31.998750367970878,195.50773027779047,0.4905094905094905,0.5339660339660339,2.2069621861277775,3.351428706823677,1.2321926251777795,1,0.3537185929648241,0.3206532663316583,11.684802419757604,11.927996729183125,0.8281718281718282,0.8166833166833167,-0.8136573637526455,-0.44261702660489877,1,0.6937688442211055,0.6961306532663316,7.076636454471898,6.639491015148847,6.896163360706388,10,10,10,200,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,4.0,3.0
0.5751256281407036,0.571608040201005,19.482407166216195,36.80391037415001,0.508991008991009,0.5674325674325674,3.240968981098259,0.8513863071493069,6.250507121845285,1,0.24341708542713567,0.24899497487437186,10.78807963709952,12.302765976729921,0.7892107892107892,0.8006993006993006,-3.7516444441443673,-5.499989862713083,1,0.688894472361809,0.6810552763819095,6.731964151206242,7.538643187647234,2.565382168598013,8,8,8,200,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,4.0,3.0
0.5308040201005025,0.5038693467336683,20.0452643181189,66.94660437989575,0.5114885114885115,0.5799200799200799,2.310542651566038,2.5891203109635197,2.405376113743594,1,0.47904522613065326,0.434572864321608,11.115882817437505,11.879991183345915,0.7992007992007992,0.8031968031968032,1.8690771598146287,2.882475347642787,1,0.6943718592964824,0.6865829145728644,6.949097559550748,7.4881579540835945,2.987724113488877,18,18,18,200,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,4.0,3.0
0.5723115577889447,0.5351256281407035,16.367317011635404,17.79296482988099,0.5274725274725275,0.6048951048951049,3.0854506271939863,1.442593544802215,5.162167558547724,1,0.19597989949748743,0.19597989949748743,10.558879718423029,10.866496752198167,0.8126873126873126,0.8091908091908092,-2.145269758799181,-1.8388335379718237,1,0.6840703517587939,0.6993969849246231,7.186294212796047,7.31943572146572,1.699318699169479,8,8,8,200,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,4.0,3.0
0.4610552763819096,0.4949246231155779,25.796357411571364,32.03124965056818,0.4885114885114885,0.5684315684315684,3.25320218089965,4.159554363651092,2.653573525669375,1,0.5389447236180904,0.48020100502512564,11.348624376674776,12.059172678688705,0.8056943056943058,0.8071928071928072,5.442923873652376,2.6431711056983365,1,0.6926130653266331,0.6922110552763819,7.2093892872895164,7.037453906036611,7.828291570211333,20,20,20,200,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,4.0,3.0
0.5372361809045226,0.47969849246231155,20.58000339713816,24.122757131208502,0.48801198801198803,0.6268731268731269,4.65138037963544,1.991960118349947,7.607487353870815,1,0.2828643216080402,0.27477386934673365,11.614576733042027,11.591335925110416,0.8271728271728271,0.8181818181818182,-0.8296374565817412,-1.3219834428250956,1,0.672713567839196,0.6740703517587939,7.318644519295417,6.806379026180177,7.122974859009199,9,9,9,200,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,4.0,3.0
