rind_Mix,rindMixoos,adjrind_Mix,adjrindMixoos,midMix,midMixoos,bayesPmix,bayesPmixoos,meanBeta1,Mix_beta1_c1,mixEq,zeroInDPM,commonInDPM,zeroInDPM2,commonInDPM2,rind_DPM,rind_DPMoos,adjrind_DPM,adjrind_DPMoos,midDPM,midDPMoos,bayesPDPM,bayesPDPMoos,dpm_beta1_c1,dpmEq,adjrind_K,adjrind_Koos,rind_K,rind_Koos,kmean_MSE,kmean_MSEoos,meanBetakclust1,zeroInk,commonInk,meanBetakclust2,zeroInk2,commonInk2,meanBetaSLR,meanBetaSLR2,zeroInSLR,commonInSLR,zeroInSLR2,commonInSLR2,slrRMSE,ncMix,ncDPM,ncK,N,fractions,variance,interEffect,common,prec,alph,bet,xdiff
0.5762863534675615,0.5758389261744966,0.1735129824852199,0.15681197873461494,4.578659204284137,5.736343582157292,0.4897551224387806,0.4160419790104948,2.044562244728082,1.816078819085883,1,true,true,true,true,0.5861297539149888,0.5761968680089485,0.18094764830994056,0.15782079690875528,2.399397841007504,3.9436143401988306,0.9970014992503748,0.9970014992503748,0.0032688984376264977,1,0.44334133835269685,0.3859953261997522,0.8712304250559284,0.854675615212528,0.8868061234009229,0.8729941732106953,1.6805092236525918,false,true,3.622539907264764,false,false,3.166690093319219,3.33789085738176,false,false,false,false,0.9564135940330384,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5776286353467561,0.585503355704698,0.1758048543422247,0.1617538195607547,7.870332829299102,9.187222854610253,0.4870064967516242,0.5772113943028485,2.2915037953743447,1.9934757383188153,1,true,true,true,true,0.13046979865771813,0.13046979865771813,0.0,0.0,2.7810430401673774,3.8733002093169056,0.9985007496251874,0.999000499750125,-0.005817400798554402,1,0.38169314694615436,0.4333701340860885,0.8585234899328859,0.8708724832214765,0.8420342371955348,0.7834888636840478,3.565882243539847,false,false,3.5217900534836013,false,false,3.375772949985036,3.163027349633416,false,false,false,false,0.9100124247115874,2,1,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5892617449664429,0.581744966442953,0.17946470821141272,0.1597146479950972,2.589051097725817,3.5243545779256085,0.5014992503748126,0.5052473763118441,2.186279033051867,1.6285617045036793,1,true,true,true,true,0.5788814317673379,0.5717225950782998,0.17040197020675904,0.14765322557289787,2.618474854043294,4.211071764053441,0.9965017491254373,0.9965017491254373,0.0019479158708933498,1,0.29595710079404564,0.2667335234062083,0.8199552572706935,0.8229082774049217,0.8869695160220267,0.9297679449147237,3.084706139862783,false,false,2.9312647400421645,false,false,3.165565559074638,3.322079060324869,false,false,false,false,1.0116360291196298,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.57834451901566,0.5795973154362416,0.1637741663798557,0.14299095204430853,7.700074716014045,9.326710601164292,0.5274862568715643,0.47176411794102946,2.54566771467135,2.691786033413574,1,true,true,true,true,0.5939149888143177,0.5821923937360179,0.19169955680280965,0.16463468380240545,2.3449066614589493,3.522714002433252,0.9980009995002499,0.9980009995002499,1.0442640223646829e-5,1,0.35868859294769184,0.31261945790705636,0.8502908277404921,0.843400447427293,0.9942680712588099,1.0094597487786507,3.092240431646886,false,false,3.93140109044579,false,false,3.3062802417605877,3.1266254057255916,false,false,false,false,1.0405319739094085,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5765548098434005,0.6020581655480984,0.17714246207391707,0.152858917941381,11.304857715712826,12.610822351840099,0.5012493753123438,0.5047476261869065,2.0346750258167217,1.883895743460731,1,true,true,true,true,0.5763758389261745,0.5691275167785235,0.18066712006726843,0.15333317524669238,2.7070738838630213,4.213311646190482,0.9970014992503748,0.9970014992503748,0.0026146111854022133,1,0.34606513445419634,0.3739056855846796,0.8501118568232662,0.8590604026845637,0.9608938048935773,1.024320366888918,3.7874910280845464,false,false,2.704091249387522,false,true,3.35875595928639,3.1341569460491034,false,false,false,false,0.9657666531218589,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5845190156599552,0.5799552572706935,0.17646001927172167,0.1589954408322924,4.250010928532636,5.336504156498066,0.512743628185907,0.42903548225887056,2.111031845693496,1.904487508153166,1,true,true,true,true,0.5903355704697987,0.5788814317673379,0.18802828242872213,0.16230073464754746,2.1663862308115824,3.2115521873471757,0.9985007496251874,0.9985007496251874,-2.166835037835395e-5,1,0.3411294713422533,0.3046104230085489,0.8535123042505592,0.8428635346756153,0.9719118342953854,0.9651108521397275,3.3745315692914652,false,false,2.7358556255730484,false,true,3.138687745835255,3.311078020886641,false,false,false,false,1.0006562291086254,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5844295302013423,0.5872930648769575,0.1700783376974198,0.16498502948714167,4.3174883246549145,5.644209501922645,0.5029985007496252,0.524487756121939,2.2603098462496165,1.9015846784988288,1,true,true,true,true,0.5826398210290827,0.5793288590604027,0.17405343919981728,0.16127017519200512,2.25653540469278,3.5834113141766935,0.9980009995002499,0.9980009995002499,-0.00010445044474835825,1,0.3169211382141334,0.30499561955715615,0.8448322147651006,0.8430425055928412,0.8801605721126884,0.9537493830866716,2.3585495338445113,false,true,3.210803117342576,false,false,3.1962023072055024,3.3132684402462873,false,false,false,false,0.9646262887457436,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5606263982102908,0.5680536912751678,0.16260248363485058,0.15018042165143225,4.878377373453479,6.191696324126746,0.46651674162918544,0.4740129935032484,2.0471833454304247,1.7820969316638593,1,true,true,true,true,0.5760178970917226,0.5740492170022371,0.17439530342225784,0.15914999781292635,2.456036258596917,3.609238223930009,0.9975012493753124,0.9975012493753124,-0.0004499691603822078,1,0.36060901169719267,0.42237984195117584,0.8530648769574944,0.8686353467561522,0.9228191807395519,0.7642515325848178,3.0021991720971344,false,false,4.157863005907517,false,false,2.900598218896052,3.6230997101529585,false,false,false,false,0.9921819968340521,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5878299776286353,0.5958836689038032,0.17546277754799885,0.16035689461063204,7.584923400306102,8.924197634331977,0.49700149925037485,0.6069465267366316,2.108161439538309,1.7828322140806028,1,true,true,true,true,0.13046979865771813,0.1411185682326622,0.0,0.0009243375580833736,2.740210685940432,3.9037863291620436,0.9980009995002499,0.9975012493753124,-0.00023581126622316458,1,0.35104397099001655,0.3242065147346904,0.8549440715883669,0.8459955257270694,1.0093457519959077,1.026072046512334,2.9645567470698584,false,false,3.364763668197436,false,false,2.9149140023252866,3.5205089361566926,false,false,false,false,1.0184829125416017,2,1,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
0.5545413870246085,0.552751677852349,0.16474354294480725,0.14281792276448493,4.025920937328251,6.407564549312686,0.49900049975012495,0.49075462268865566,2.3289197020937262,1.9717775943072677,1,true,true,true,true,0.566979865771812,0.5604474272930648,0.1761688932653964,0.15006367812020346,2.553611320711921,3.9281595389422366,0.9970014992503748,0.9970014992503748,-2.0249977657417657e-5,1,0.3569659602286136,0.30378742046752244,0.8576286353467562,0.8413422818791946,0.8537496570080082,0.8767078526009884,3.9644500924971795,false,false,1.945509292064661,false,true,3.220824467690011,3.308455779821681,false,false,false,false,0.9347715857341975,2,2,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.5,2.0,0.01,2.0,1.0,1.0
