rind_Mix,rindMixoos,adjrind_Mix,adjrindMixoos,midMix,midMixoos,bayesPmix,bayesPmixoos,meanBeta1,meanBeta2,Mix_beta1_c1,mixEq,zeroInDPM,commonInDPM,zeroInDPM2,commonInDPM2,rind_DPM,rind_DPMoos,adjrind_DPM,adjrind_DPMoos,midDPM,midDPMoos,bayesPDPM,bayesPDPMoos,dpm_beta1_c1,dpmEq,adjrind_K,adjrind_Koos,rind_K,rind_Koos,kmean_MSE,kmean_MSEoos,meanBetakclust1,zeroInk,commonInk,meanBetakclust2,zeroInk2,commonInk2,meanBetaSLR,meanBetaSLR2,zeroInSLR,commonInSLR,zeroInSLR2,commonInSLR2,slrRMSE,ncMix,ncDPM,ncK,N,fractions,variance,interEffect,common,prec,alph,bet,xdiff
0.7144519015659955,0.7220581655480984,0.13709596064896187,0.11462862880018714,3.8193333906617455,9.179423920271988,0.5059970014992503,0.5442278860569715,0.9059434759021531,0.9792951265871411,0.6862477292538163,1,true,true,true,true,0.6187919463087248,0.6098434004474272,0.17346682480079958,0.161632752038794,0.7019629562894726,0.7531563265297452,0.4847576211894053,0.49975012493753124,-7.493744674994295,1,0.405086817916745,0.36445092778880206,0.8513646532438479,0.8447427293064877,0.4305998673880617,0.4387726487463761,1.9004924506729728,false,false,1.2542573924060885,false,true,1.5881211574047498,1.6627145231671292,false,false,false,false,0.49425578918970525,11,3,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6574496644295302,0.6574496644295302,0.1814611617744609,0.16443257446342668,2.33238743715458,4.010952206665187,0.5044977511244377,0.5967016491754122,1.2880143277023226,0.9569620186276588,0.8614606908518057,1,true,true,true,true,0.6179865771812081,0.6098434004474272,0.1713630234880539,0.1635336370203481,0.724485764033421,2.3530385194471606,0.4950024987506247,0.5932033983008496,3.8202905829892453,1,0.41390855697759243,0.3805528899057752,0.8675615212527964,0.85834451901566,0.45536627298147153,0.4774927312932423,1.596205900555542,false,false,1.5504879041144315,false,false,1.71537632623219,1.5508608523849219,false,false,false,false,0.48371388356624345,8,4,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.611006711409396,0.625234899328859,0.1828398045648157,0.15892419127923238,2.2069525353365824,2.977801344845102,0.5049975012493753,0.5817091454272864,1.1093338444289385,1.103077708791758,0.941269869612907,1,true,true,true,true,0.7406711409395973,0.6952125279642059,0.24783798983021518,0.1235580212224103,0.8843409526169717,1.136048180992334,0.4492753623188406,0.5707146426786607,0.8333200177644575,1,0.2947606363221514,0.3208543815121447,0.8403579418344519,0.8460850111856824,0.48069962800120064,0.5222475423147488,1.763578785641325,false,false,1.777750618142875,false,false,1.755352471615337,1.4728058845009562,false,false,false,false,0.4997360789437809,5,4,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6330201342281879,0.6434899328859061,0.16375542530037276,0.15856226231863138,2.3038005882543526,7.203539281174898,0.5347326336831584,0.4592703648175912,1.236908189455449,1.1686788415612626,0.8371364137417932,1,true,true,true,true,0.5924832214765101,0.5871140939597316,0.17247037766011486,0.16347327402470743,0.7898729030689405,1.2240891238896177,0.5312343828085957,0.46926536731634183,5.863303931774222,1,0.3605911882266805,0.34255768156545663,0.8553020134228188,0.8524384787472036,0.45941734012987717,0.49451168740719054,1.1245926541392568,false,true,1.8840927542146846,false,false,1.6433964219528492,1.6153670193084884,false,false,false,false,0.4854819068244393,7,3,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.5880089485458613,0.5948098434004474,0.1645745969397657,0.14357839251655388,1.9956836051029254,6.527140863087736,0.49300349825087453,0.5477261369315343,1.235228069457257,1.0419565152100543,1.0547923263972225,1,true,true,true,true,0.6715883668903803,0.6608501118568233,0.1785540312812681,0.15888891348324527,0.8195296925460579,2.0155480687701948,0.5079960019990005,0.6286856571714143,0.2775101167793343,1,0.423969438736516,0.4427946233197874,0.8695302013422819,0.872393736017897,0.3954740062084956,0.37244216093604854,0.9240460074667985,false,true,1.6430799608153293,false,false,1.7351242173122197,1.5102164259352355,false,false,false,false,0.47123855328843295,5,4,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6297986577181208,0.6300671140939598,0.17410161211389907,0.1585538531043564,2.24751995038805,4.164793706838166,0.5319840079960021,0.6116941529235382,1.0257314622408353,1.1340569601049884,0.9546523059214038,1,true,true,true,true,0.6704250559284116,0.6637136465324385,0.15124656241298173,0.14498471062131274,0.8236787474292865,1.0191991255037234,0.5347326336831584,0.6046976511744128,-2.0767488977457167,1,0.29525515014476306,0.32717201517249683,0.8376733780760627,0.8475167785234899,0.4536424237550441,0.4331705069016235,1.9769150147497228,false,false,2.2703458831425594,false,false,1.6881578064322105,1.538960098935167,false,false,false,false,0.5263806609384849,7,5,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.7656375838926175,0.7428187919463087,0.25423897636052734,0.15478410823245461,4.008516655587399,11.700658699193081,0.49600199900049974,0.5489755122438781,1.010860708013716,1.0906108345357681,0.7636981597612921,1,true,true,true,true,0.5947203579418344,0.5894407158836689,0.1762969570340991,0.16575987337303622,0.9488324247299987,2.161894490967439,0.5037481259370314,0.5259870064967516,1.2771859669928871,1,0.3434295500246139,0.4030761789882815,0.8487695749440716,0.8621923937360179,0.493552448500001,0.4872284441606545,1.8132508561655871,false,false,1.6827784727719957,false,false,1.550297037855573,1.6882880154083546,false,false,false,false,0.5088495165489726,14,3,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6661297539149889,0.6599552572706935,0.1890236466984781,0.12434940829502678,2.6166166071874613,8.920631231625702,0.5047476261869066,0.4042978510744628,0.774818436805289,0.8635674953646804,0.9682662011891894,1,true,true,true,true,0.6102013422818792,0.596241610738255,0.19622661163911984,0.16849988798613788,0.6698024788989889,0.7880765224443129,0.5072463768115942,0.4370314842578711,-9.544223380973115,1,0.3753475876304302,0.37232238282583663,0.8552125279642058,0.8529753914988815,0.40772910881590485,0.46699366647466484,1.5035416180496197,false,false,1.8920261704667207,false,false,1.394235578325928,1.8274875680159213,false,false,false,false,0.506691698905314,3,3,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6785682326621923,0.6737360178970917,0.19144501331068658,0.11321853100694755,3.1586500967222544,5.493405184699891,0.507496251874063,0.525487256371814,0.7843775661675617,0.8473297004072105,1.0637896080415352,1,true,true,true,true,0.5921252796420582,0.5878299776286353,0.1695807185383796,0.15946189352680779,0.7359762243655679,0.766097644522875,0.5172413793103449,0.5552223888055972,7.183859096572399,1,0.3237970862922432,0.3685531734557525,0.8381208053691275,0.8503803131991051,0.44161509432770024,0.4154018231387059,1.910898489049462,false,false,1.8421397148089402,false,false,1.5081671631875306,1.716717908727873,false,false,false,false,0.509318198816259,4,4,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
0.6348098434004474,0.6388366890380314,0.14779790874149287,0.12601260855137633,2.695280898586931,9.522871544151464,0.5044977511244377,0.5959520239880061,0.9328992420936334,0.9731261736958168,1.0200836019567894,1,true,true,true,true,0.60751677852349,0.5956152125279642,0.15361187791296615,0.1396872358873888,0.7334119557999129,2.8427951402285947,0.49825087456271866,0.6216891554222889,2.597085223914871,1,0.3060423432581298,0.2961181773747739,0.8427740492170023,0.8419686800894854,0.46306457437009907,0.537625258995129,1.0855924577749678,false,true,2.1799911748095107,false,false,1.6334951749736113,1.608201744880431,false,false,false,false,0.488332451445983,6,4,8,150,"[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",0.1,0.25,1.0,0.01,0.1,2.0,1.0
